nameWithOwner,classes_n,cbo_mean,cbo_median,cbo_std,dit_mean,dit_median,dit_std,lcom_mean,lcom_median,lcom_std
TeamNewPipe/NewPipe,504.0,8.662698412698413,5.0,10.617950472052303,1.7182539682539681,1.0,1.1454743376587353,47.87301587301587,1.0,249.40137424078597
eugenp/tutorials,24626.0,4.12166003411029,3.0,3.996879526677509,1.111345732153009,1.0,0.42139194061067714,5.870908795581905,0.0,40.046017498938966
alibaba/arthas,1343.0,4.691734921816828,3.0,5.785560566726523,1.3633655994043188,1.0,0.7548539339617338,30.19657483246463,0.0,149.86948645032925
YunaiV/ruoyi-vue-pro,3933.0,7.888634630053394,6.0,7.438408030654779,1.2240020340706839,1.0,0.44127526281755447,16.201627256547166,0.0,494.65656651554156
ashishps1/awesome-system-design-resources,11.0,0.8181818181818182,1.0,0.6030226891555273,1.0,1.0,0.0,0.0,0.0,0.0
geekxh/hello-algorithm,3.0,1.3333333333333333,1.0,0.5773502691896257,1.0,1.0,0.0,0.0,0.0,0.0
doocs/leetcode,171.0,2.6666666666666665,2.0,2.040761103694634,1.0058479532163742,1.0,0.07647191129018724,0.4444444444444444,0.0,1.302084803920738
airbnb/lottie-android,291.0,6.965635738831615,5.0,8.348375096365453,1.288659793814433,1.0,0.6479478941364185,35.80068728522337,0.0,302.485374054296
bumptech/glide,1528.0,5.9535340314136125,4.0,6.59064551676012,1.2303664921465969,1.0,0.7849730618115142,20.031413612565444,0.0,159.05236004695834
netty/netty,7828.0,4.5028104241185485,3.0,5.870683196367619,1.5484159427695452,1.0,1.229334105471733,69.00153295861011,0.0,1152.5287303375264
xkcoding/spring-boot-demo,482.0,5.049792531120332,4.0,4.004364816897282,1.1307053941908713,1.0,0.4884647768088304,2.3215767634854774,0.0,9.814829841965445
SeleniumHQ/selenium,2085.0,5.690647482014389,4.0,6.863680443135411,1.3601918465227818,1.0,1.0087182159478079,33.48968824940048,0.0,285.3412519282238
zxing/zxing,597.0,4.852596314907872,4.0,4.693817952655489,1.6850921273031825,2.0,0.7780518175289255,22.88777219430486,0.0,130.64699274245083
keycloak/keycloak,9721.0,6.9800432054315396,4.0,8.36812569284794,1.5445941775537495,1.0,1.0274483167656325,71.01419607036313,2.0,965.449415811004
alibaba/easyexcel,560.0,6.257142857142857,5.0,5.6449783640769615,1.3714285714285714,1.0,0.8296203165697055,32.025,1.0,355.6684644707237
Blankj/AndroidUtilCode,670.0,4.155223880597015,2.0,5.550401851409895,1.364179104477612,1.0,0.8356234289192939,144.95373134328358,0.0,960.5050906924679
alibaba/nacos,5026.0,5.354755272582571,3.0,6.461804676051409,1.277158774373259,1.0,0.6698804864518485,22.140867489056905,1.0,281.61710509794113
binarywang/WxJava,5473.0,5.533710944637311,4.0,6.616119093447699,1.21213228576649,1.0,0.4398619234908201,20.955965649552347,0.0,237.75688953455784
apache/kafka,8817.0,7.959283202903482,4.0,13.4285785611199,1.4290575025518883,1.0,1.087895132747414,65.00782579108541,0.0,1206.9783830718823
conductor-oss/conductor,1326.0,7.45475113122172,6.0,7.848700652848062,1.2269984917043741,1.0,0.5010731532454954,60.85897435897436,0.0,333.62537416305406
ityouknow/spring-boot-examples,363.0,4.661157024793388,4.0,3.1680912190959196,1.022038567493113,1.0,0.1470115891629585,4.1597796143250685,0.0,14.992883466746104
chinabugotech/hutool,2727.0,3.637697103043638,3.0,3.971285634191674,1.276861019435277,1.0,0.7432676388433117,101.06894022735607,0.0,952.6421494688836
xuxueli/xxl-job,169.0,5.005917159763314,3.0,5.625724335818496,1.1597633136094674,1.0,0.4132218830101795,24.75147928994083,0.0,102.81182423805068
apolloconfig/apollo,786.0,7.338422391857506,6.0,6.834157340343287,1.2404580152671756,1.0,0.6730039466806829,15.43765903307888,0.0,58.40087083039569
alibaba/canal,1054.0,5.690702087286527,4.0,6.282610565521417,1.3690702087286528,1.0,0.7973315472284126,77.03415559772296,1.0,466.32864311630254
yuliskov/SmartTube,3288.0,6.567518248175182,4.0,7.958345521939782,1.5377128953771289,1.0,1.440781529226383,66.31812652068126,1.0,457.2455452646116
alibaba/spring-cloud-alibaba,592.0,5.695945945945946,5.0,4.832432427317107,1.1097972972972974,1.0,0.3535250948419905,30.04054054054054,0.0,311.6086394953894
wuyouzhuguli/SpringAll,369.0,5.186991869918699,4.0,4.183331819417003,1.113821138211382,1.0,0.37307299158738605,3.8157181571815717,0.0,11.853208705494092
DrKLO/Telegram,13249.0,7.051098196090271,4.0,13.86466899662461,1.6963544418446674,1.0,18.24982511397812,67.5803456864669,0.0,1313.7910644791373
alibaba/druid,5967.0,5.240824534942182,4.0,13.00576817764313,1.6742081447963801,2.0,0.8996461323805236,229.41444612032848,0.0,5183.7184829785565
lenve/vhr,94.0,4.4361702127659575,2.0,5.843033735957143,1.0212765957446808,1.0,0.14507865158346242,48.329787234042556,6.0,225.79495829004145
crossoverJie/JCSprout,162.0,1.962962962962963,1.0,1.857965523581774,1.0925925925925926,1.0,0.3663748132660339,1.7654320987654322,0.0,6.3583888051317015
qiurunze123/miaosha,286.0,4.146853146853147,3.0,4.53981689399364,1.1258741258741258,1.0,0.39053957936101535,14.3006993006993,0.0,85.54371284043502
OpenAPITools/openapi-generator,4414.0,5.086089714544631,3.0,5.944094977793044,1.2222473946533756,1.0,0.6273788277301309,86.25101948346172,0.0,1127.333311879437
apache/incubator-seata,4151.0,6.482293423271501,4.0,20.814154408742876,1.7660804625391473,1.0,14.144843363079506,462.32955914237533,2.0,14738.226431014235
apache/flink,25268.0,7.219012189330378,5.0,8.713461240929233,1.651377236029761,1.0,2.173919591211314,35.47589836947918,1.0,1178.9206036115177
alibaba/fastjson,6327.0,1.8463726884779517,1.0,2.686445475109579,1.5037142405563457,1.0,0.7116374579359991,126.12122648964754,0.0,3281.9663386059483
JakeWharton/butterknife,272.0,3.9595588235294117,2.0,6.413361038070842,1.2352941176470589,1.0,0.7108572250152728,10.481617647058824,0.0,75.80646138055423
CodePhiliaX/Chat2DB,1045.0,6.054545454545455,4.0,6.848657537516314,1.2669856459330144,1.0,0.5626556870836342,16.489952153110046,0.0,84.83664235184057
bazelbuild/bazel,10731.0,7.587829652408908,5.0,10.487715134262,1.623241077252819,1.0,1.338433369279631,70.59192992265399,1.0,960.951152179074
jenkinsci/jenkins,4124.0,6.309893307468477,4.0,8.463987662925241,1.9444713870029098,2.0,1.791339552429655,46.49418040737148,0.0,909.7213685715451
scwang90/SmartRefreshLayout,341.0,6.651026392961877,3.0,7.59130155095532,1.5073313782991202,1.0,0.8492759399738044,30.319648093841643,0.0,295.0474047572584
libgdx/libgdx,4104.0,5.216861598440546,3.0,8.844101503857017,1.786793372319688,1.0,1.5948708458860261,3434.72977582846,0.0,144240.05573580664
apache/skywalking,3577.0,6.0125803746156,4.0,7.211227300836101,1.390550740844283,1.0,0.8067459935851545,7.154039698071009,0.0,32.95286836668977
proxyee-down-org/proxyee-down,60.0,5.516666666666667,4.0,6.223225134401482,1.4666666666666666,1.0,0.9291269214473296,19.516666666666666,2.0,49.7285825346345
greenrobot/EventBus,183.0,3.4262295081967213,3.0,3.065900812679761,1.8360655737704918,1.0,1.4240515779898408,9.05464480874317,0.0,35.08227798058746
Netflix/Hystrix,2005.0,3.3610972568578554,2.0,5.185605248130499,1.5581047381546134,1.0,3.588660395208526,20.253865336658354,0.0,385.24130640800433
redisson/redisson,3013.0,5.753070029870561,3.0,10.384767104569237,1.3166279455692,1.0,0.7061522799456488,168.2562230335214,0.0,1486.80810375193
google/gson,1082.0,3.033271719038817,2.0,4.454602149774934,1.2855822550831792,1.0,1.0254644412361982,20.777264325323475,0.0,382.36622133262625
iBotPeaches/Apktool,167.0,5.868263473053892,5.0,5.359993366975298,1.778443113772455,2.0,1.037845298061478,53.958083832335326,1.0,295.1189336173447
dataease/dataease,1124.0,4.98576512455516,3.0,7.552828030436021,1.1565836298932384,1.0,0.4797235783351459,28.551601423487543,0.0,185.53295955233142
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,91.0,2.901098901098901,2.0,2.836488224136572,1.0,1.0,0.0,0.23076923076923078,0.0,0.716114874039433
LSPosed/LSPosed,427.0,5.522248243559719,3.0,7.2472333464341485,1.6463700234192038,1.0,1.2869896760042594,48.114754098360656,0.0,319.84925064569575
ashishps1/awesome-low-level-design,793.0,2.640605296343001,2.0,2.5595366604098513,1.141235813366961,1.0,0.43545748163482384,3.051702395964691,0.0,11.144532575005575
doocs/source-code-hunter,1.0,0.0,0.0,,1.0,1.0,,0.0,0.0,
alibaba/Sentinel,1538.0,4.3491547464239275,3.0,4.495751185903197,1.1775032509752925,1.0,0.6515791400293364,12.326397919375813,0.0,46.41081406135485
kunal-kushwaha/DSA-Bootcamp-Java,253.0,1.3043478260869565,1.0,1.2240403066025707,1.08300395256917,1.0,0.3407328527871097,3.494071146245059,1.0,11.011761588439535
apache/rocketmq,3002.0,6.987341772151899,4.0,10.610858097216306,1.3364423717521652,1.0,0.7544587456208743,135.61292471685542,1.0,2831.5448041802465
elunez/eladmin,282.0,8.01418439716312,5.0,7.683217200927227,1.1631205673758864,1.0,0.44839156558518495,6.25886524822695,0.0,19.56357487917154
CarGuo/GSYVideoPlayer,674.0,5.326409495548962,2.0,6.77884458403284,1.543026706231454,1.0,1.4805586198874943,52.345697329376854,0.0,301.41951052674847
brettwooldridge/HikariCP,185.0,4.383783783783784,3.0,4.196110615894505,1.2864864864864864,1.0,0.6586226414144777,172.67027027027027,0.0,1408.661311174716
didi/DoKit,1571.0,4.471037555697008,2.0,5.71629875623757,1.3208147676639084,1.0,0.8386785773542732,71.68109484404837,0.0,633.9993355441259
mybatis/mybatis-3,1756.0,3.526765375854214,2.0,4.895124734817446,1.2198177676537585,1.0,0.7085760134046661,21.27107061503417,0.0,249.0782540112711
linlinjava/litemall,616.0,4.563311688311688,3.0,5.708862151398301,1.1266233766233766,1.0,0.33282084983785376,1535.3717532467533,1.0,9410.038609069383
yudaocode/SpringBoot-Labs,1463.0,4.302118933697881,4.0,2.974407875560328,1.0539986329460014,1.0,0.2727151167094534,1.4634313055365686,0.0,6.869697610756437
ReactiveX/RxAndroid,55.0,2.272727272727273,1.0,3.788161605603482,1.1272727272727272,1.0,0.4326723786023175,3.090909090909091,0.0,11.233667530921775
dianping/cat,1884.0,5.473460721868365,4.0,5.92929095731987,1.4092356687898089,1.0,0.6515960629832749,23.512208067940552,1.0,106.00817792082694
lionsoul2014/ip2region,48.0,4.104166666666667,4.0,2.9335881981478003,1.2083333333333333,1.0,0.5819385554072728,11.1875,0.0,34.313111599789
Baseflow/PhotoView,45.0,4.733333333333333,3.0,5.544858388223684,1.3555555555555556,1.0,0.5703091488416833,24.6,0.0,157.2585306256721
antlr/antlr4,662.0,5.7009063444108765,3.0,7.163614088022047,1.7915407854984895,1.0,1.1637701711220005,48.30211480362538,0.0,192.86342818684093
YunaiV/yudao-cloud,3976.0,7.8895875251509056,6.0,7.446083414773085,1.2127766599597585,1.0,0.4337900676722328,16.012072434607646,0.0,491.9776600288139
dromara/Sa-Token,765.0,4.443137254901961,3.0,4.458766362413704,1.219607843137255,1.0,0.7718084786312572,60.169934640522875,0.0,694.7135477970735
williamfiset/Algorithms,440.0,2.6931818181818183,2.0,1.7520437434435645,1.0568181818181819,1.0,0.23175838419270084,23.70909090909091,3.0,73.55779287138901
Tencent/APIJSON,70.0,5.914285714285715,3.0,8.67236633729219,1.2428571428571429,1.0,0.6688886366814535,1169.3285714285714,5.5,5422.455456740171
LMAX-Exchange/disruptor,410.0,4.480487804878049,3.0,4.822102713349284,1.2902439024390244,1.0,0.8101751683721469,25.882926829268293,0.0,224.6994862499625
forezp/SpringCloudLearning,140.0,4.6,4.0,2.211155497266876,1.05,1.0,0.21872751683019911,0.4857142857142857,0.0,1.5662157770326874
Tencent/tinker,520.0,4.744230769230769,3.0,7.052921707310812,1.603846153846154,1.0,2.5056361545336503,28.471153846153847,0.0,110.99189825584054
ben-manes/caffeine,1404.0,4.916666666666667,3.0,6.566793177044516,1.5313390313390314,1.0,1.3794182775637325,165.15811965811966,0.0,1791.0070447724102
infinilabs/analysis-ik,38.0,4.815789473684211,4.0,3.593201261526015,1.368421052631579,1.0,0.48885152952935135,18.36842105263158,2.5,38.90002504871811
justauth/JustAuth,198.0,5.51010101010101,2.0,6.031844343369494,1.3434343434343434,1.0,0.5816415796170478,12.984848484848484,6.0,19.53195410590555
baomidou/mybatis-plus,1047.0,5.833810888252149,4.0,9.524602494154784,1.3447946513849092,1.0,0.8125033495151125,25.044890162368674,0.0,151.42685570670193
gyoogle/tech-interview-for-developer,13.0,1.3076923076923077,1.0,0.7510676161988107,1.0,1.0,0.0,0.9230769230769231,0.0,3.0403272428457004
material-components/material-components-android,2120.0,7.08066037735849,4.0,8.156422816679566,1.5367924528301886,1.0,0.9833753040027657,93.6127358490566,1.0,963.1453710056122
alibaba/DataX,1222.0,4.436988543371522,3.0,5.6821810157448995,1.5613747954173487,1.0,1.1795753238303326,22.648936170212767,0.0,185.315969393846
facebook/fresco,1001.0,6.49050949050949,5.0,6.31412383788597,1.4115884115884116,1.0,0.8913055449314642,27.182817182817182,0.0,120.12430871582796
nostra13/Android-Universal-Image-Loader,140.0,4.864285714285714,3.0,4.877212782122245,1.5857142857142856,1.0,0.9595091242435793,28.84285714285714,0.5,99.81899239912495
heibaiying/BigData-Notes,77.0,5.714285714285714,5.0,3.5125981644164272,1.2207792207792207,1.0,0.41749177815341537,0.8181818181818182,0.0,1.861855842172936
winterbe/java8-tutorial,88.0,1.0340909090909092,1.0,1.0444034059687686,1.0,1.0,0.0,3.909090909090909,0.0,9.327547094292166
shuzheng/zheng,509.0,4.296660117878193,3.0,5.425262489059642,1.4086444007858545,1.0,0.492066917854408,340.8565815324165,0.0,1786.3429180113305
JeffLi1993/springboot-learning-example,114.0,4.728070175438597,3.0,4.049003128094003,1.043859649122807,1.0,0.24496165050024668,2.56140350877193,0.0,5.850701626057828
ashishps1/awesome-leetcode-resources,11.0,1.1818181818181819,1.0,0.40451991747794525,1.0,1.0,0.0,4.7272727272727275,0.0,8.259429872465885
android-hacker/VirtualXposed,1453.0,3.8891947694425326,2.0,5.0552839250904995,2.792842395044735,2.0,11.858632567217098,14.695801789401239,0.0,128.63758845222364
dyc87112/SpringBoot-Learning,264.0,4.443181818181818,4.0,2.9656767367230716,1.0265151515151516,1.0,0.1830704942179621,1.4659090909090908,0.0,7.250984771670982
android10/Android-CleanArchitecture,105.0,5.142857142857143,4.0,4.670753051268507,1.4285714285714286,1.0,0.7051615043752368,6.723809523809524,1.0,23.217821088922538
Konloch/bytecode-viewer,414.0,4.647342995169082,3.0,6.211859328177208,2.0434782608695654,1.0,1.8194652324163236,13.68840579710145,0.0,59.06115360580907
mockito/mockito,2128.0,3.2796052631578947,2.0,4.385761189067666,1.3956766917293233,1.0,1.076491590584833,19.06343984962406,0.0,278.7497798942212
apache/doris,9163.0,8.6646294881589,5.0,20.120691304146796,1.6975881261595547,1.0,1.3215349265378458,126.98079231692677,1.0,3041.1892911827385
apache/pulsar,7097.0,6.895589685782725,4.0,10.348055277249971,1.6807101592222065,1.0,3.8774288533142354,89.29054530083134,0.0,1465.1417608869351
java-decompiler/jd-gui,407.0,4.538083538083538,3.0,5.430519417672085,2.4176904176904177,1.0,2.3388940109725205,11.115479115479115,1.0,51.07329738346287
zhisheng17/flink-learning,661.0,4.35249621785174,3.0,4.3902212930420275,1.1437216338880485,1.0,0.37607712938091165,3.022692889561271,0.0,17.520060346800754
supertokens/supertokens-core,1020.0,10.887254901960784,10.0,11.268253507472263,1.4627450980392156,1.0,1.0245199520816737,72.98333333333333,3.0,1227.8681489011892
zaproxy/zaproxy,2385.0,4.667505241090147,3.0,5.82625003352049,1.9064989517819706,1.0,1.7582677738902803,70.91991614255765,1.0,358.62496868514677
cryptomator/cryptomator,473.0,8.329809725158562,6.0,8.010658905969382,1.4186046511627908,1.0,0.9601335966691807,19.596194503171247,1.0,69.0083186024335
theonedev/onedev,8426.0,5.85105625445051,4.0,8.95358340875249,1.4366247329693804,1.0,0.9282034980631642,26.84773320674104,0.0,521.8074817676429
elastic/logstash,932.0,5.368025751072961,4.0,5.660913071852437,1.6158798283261802,1.0,2.1159932595036928,21.18991416309013,1.0,103.3012102956329
eclipse-vertx/vert.x,2011.0,6.554947787170562,4.0,9.132596429659186,1.5340626553953256,1.0,1.057175601680613,157.33465937344604,1.0,1614.0767115392794
opendataloader-project/opendataloader-pdf,149.0,7.5369127516778525,5.0,7.077298585573688,1.167785234899329,1.0,0.37493575240188476,52.46308724832215,2.0,224.08442917461403
arduino/Arduino,450.0,4.131111111111111,2.0,6.051608861241208,1.768888888888889,1.0,1.9227650633242768,32.72222222222222,0.0,208.26102709599184
hdodenhof/CircleImageView,3.0,11.0,5.0,13.076696830622021,2.3333333333333335,2.0,0.5773502691896258,178.66666666666666,0.0,309.45974428563943
Tencent/QMUI_Android,1066.0,5.290806754221388,3.0,6.456197656115214,1.5666041275797373,1.0,1.2655682562442037,35.34240150093809,0.0,197.89879811237174
alibaba/ARouter,98.0,3.693877551020408,2.0,4.910347087623659,1.4081632653061225,1.0,0.7843407461424728,17.448979591836736,0.0,83.3326611937267
GoogleContainerTools/jib,703.0,6.7197724039829305,4.0,7.229233463676684,1.2119487908961593,1.0,0.6218019377547359,17.139402560455192,0.0,73.29799399614618
languagetool-org/languagetool,2626.0,5.376999238385377,4.0,6.2569967161798274,1.5845392231530846,1.0,0.9809096443918564,55.424980959634425,1.0,403.97758812009977
DuGuQiuBai/Java,618.0,0.7475728155339806,0.0,1.2798281382947438,1.1715210355987056,1.0,0.7222093446378496,1.080906148867314,0.0,5.189122567325844
deeplearning4j/deeplearning4j,5703.0,8.489040855689987,7.0,9.64475152781193,2.1513238646326496,2.0,19.381738121863236,54474.45817990531,6.0,2361552.1162612913
apache/dolphinscheduler,2814.0,6.476545842217484,5.0,6.514441612999619,1.3724235963041933,1.0,0.6870132659134992,11.663823738450604,0.0,57.99503508315764
kekingcn/kkFileView,84.0,7.214285714285714,5.0,6.072000580526481,1.0476190476190477,1.0,0.21423789866216114,163.9404761904762,1.0,1191.2389455226398
Netflix/zuul,520.0,6.446153846153846,4.0,7.627464358415986,1.5673076923076923,1.0,0.9613376105625642,25.084615384615386,1.0,138.7629650032716
janishar/mit-deep-learning-book-pdf,1.0,0.0,0.0,,1.0,1.0,,0.0,0.0,
apache/druid,14923.0,7.932118206794881,5.0,9.40279538401251,1.374790591704081,1.0,1.80938587455442,62.67935401728875,1.0,4503.141829738662
xpipe-io/xpipe,1656.0,6.88707729468599,5.0,6.6446209057652865,1.5942028985507246,1.0,1.235747592953384,19.919082125603865,1.0,176.53610528582905
sqshq/piggymetrics,99.0,6.040404040404041,5.0,4.342291297533661,1.0606060606060606,1.0,0.23982058847557647,3.8282828282828283,0.0,10.07931849417147
orhanobut/logger,18.0,5.833333333333333,6.0,3.053445498410723,1.1666666666666667,1.0,0.3834824944236852,14.944444444444445,0.0,35.58663368080811
pinpoint-apm/pinpoint,9228.0,5.250216731686172,4.0,5.79509261947118,1.1367576939748592,1.0,0.4873396383160233,11.65702210663199,0.0,89.35958430244094
seaswalker/spring-analysis,33.0,2.4242424242424243,2.0,2.6461092077603183,1.2424242424242424,1.0,0.7512615652314043,1.7878787878787878,0.0,3.189411934016753
JessYanCoding/AndroidAutoSize,49.0,5.408163265306122,4.0,4.237326040416186,1.4081632653061225,1.0,0.49658699082414787,31.285714285714285,1.0,136.30022010253688
lgvalle/Material-Animations,45.0,4.4,2.0,4.058660773300383,1.4666666666666666,1.0,0.7567874686642695,4.7555555555555555,0.0,16.10781227111913
LuckSiege/PictureSelector,737.0,5.108548168249661,2.0,8.605903255979422,1.237449118046133,1.0,0.6690421490487014,49.44911804613297,0.0,372.18575587684415
tink-crypto/tink,1465.0,7.382252559726963,5.0,7.065653211488834,1.291467576791809,1.0,1.2442609632818984,30.075767918088737,1.0,184.04645445478647
Bigkoo/Android-PickerView,91.0,3.7252747252747254,2.0,5.05759260708521,1.1538461538461537,1.0,0.36280012627331265,15.494505494505495,0.0,90.56359013623441
macrozheng/mall-learning,248.0,4.92741935483871,3.0,4.40587275926098,1.1048387096774193,1.0,0.30696498862978194,230.01612903225808,0.0,1252.9276645251007
pxb1988/dex2jar,571.0,5.380035026269702,3.0,6.7927376595192985,1.5709281961471104,1.0,0.9821900056078066,21.13309982486865,0.0,136.5138504920424
metersphere/metersphere,3702.0,6.784440842787682,3.0,11.726183227561306,1.2987574284170718,1.0,0.5465556921367275,446.2396002160994,0.0,3759.1635543837447
youth5201314/banner,73.0,6.082191780821918,5.0,6.157094879210338,1.8356164383561644,2.0,0.6874610823355948,47.68493150684932,1.0,350.8987617814958
alibaba/COLA,559.0,4.305903398926655,3.0,4.459834792651885,1.3470483005366727,1.0,0.7767599160596067,4.974955277280858,0.0,18.32031059343514
macrozheng/mall-swarm,764.0,3.7329842931937174,3.0,4.571197192102367,1.2316753926701571,1.0,0.4344192964871566,1106.2290575916231,13.0,8134.410503033857
plantuml/plantuml,4131.0,7.242314209634471,5.0,7.481056681654654,1.522633744855967,1.0,0.8734216126959804,36.48099733720649,1.0,609.494281944923
microg/GmsCore,1970.0,5.965482233502538,5.0,4.968445519943957,1.713705583756345,2.0,0.8799239166861021,14.025380710659899,0.0,67.55998681669234
codecentric/spring-boot-admin,459.0,7.727668845315904,6.0,6.075392165835861,1.2745098039215685,1.0,0.646474761504076,7.2636165577342044,0.0,27.787917263514323
Netflix/conductor,664.0,7.414156626506024,5.0,8.145278446863523,1.2545180722891567,1.0,0.5627802747804417,78.67469879518072,0.0,646.6732802777989
apache/zookeeper,1763.0,5.615995462280204,3.0,7.072553660638622,1.946114577424844,1.0,2.93612291215976,37.05955757231991,0.0,389.32947010465585
google/guice,3886.0,3.453679876479671,2.0,5.324989347552595,1.3041688111168297,1.0,1.2504282370966662,8.462171899125064,0.0,77.8651474932725
opensearch-project/OpenSearch,19565.0,7.495272169690774,5.0,10.064301578262342,1.7504727830309226,1.0,1.552163396917928,39.58860209557884,1.0,451.0061978009045
trinodb/trino,14565.0,8.670442842430484,6.0,12.673969623516909,1.3461723309303124,1.0,0.9450211800393534,93.36065911431514,1.0,1379.8332886949104
Netflix/eureka,747.0,5.676037483266399,4.0,6.223022320185003,1.2610441767068272,1.0,0.6751986953531979,18.613119143239626,0.0,134.1853145766432
facebook/stetho,588.0,4.379251700680272,3.0,5.372405181003453,1.4234693877551021,1.0,1.2488878339904,7.496598639455782,0.0,31.24805937953342
greenrobot/greenDAO,364.0,5.019230769230769,4.0,4.693018489964622,2.1016483516483517,1.0,1.7162639697155655,47.4532967032967,1.0,241.28342675714242
debezium/debezium,3321.0,6.895814513700692,5.0,7.624468218109245,1.6136705811502559,1.0,1.035708731735281,61.00542005420054,1.0,568.9879961208763
LawnchairLauncher/lawnchair,3507.0,10.962646136298831,5.0,15.863347079356904,1.5814086113487311,1.0,1.1826261592218132,193.05645851154833,1.0,2249.491621265084
zhihu/Matisse,76.0,6.657894736842105,5.0,7.38386101634991,1.394736842105263,1.0,0.6341177044980645,8.078947368421053,0.0,16.138370969334535
daimajia/AndroidViewAnimations,82.0,3.3780487804878048,2.0,7.030164713491828,1.8048780487804879,2.0,0.3987333150731603,2.292682926829268,0.0,12.889356126471698
daimajia/AndroidSwipeLayout,74.0,3.7162162162162162,2.0,4.944958052844429,1.3243243243243243,1.0,0.599271432271895,58.9054054054054,0.0,480.28439545578254
pagehelper-org/Mybatis-PageHelper,184.0,5.820652173913044,6.0,4.894002977738721,1.4565217391304348,1.0,0.8609696335570387,29.391304347826086,0.0,189.82272181254322
amitshekhariitbhu/android-interview-questions,1.0,0.0,0.0,,1.0,1.0,,0.0,0.0,
redis/jedis,1448.0,5.80524861878453,3.5,8.803980696009809,1.419889502762431,1.0,0.9611338552526458,460.7196132596685,1.0,13684.385580257736
beemdevelopment/Aegis,459.0,7.429193899782135,5.0,9.516298223654761,1.7080610021786493,1.0,1.0268025733581352,22.823529411764707,1.0,143.31603628828512
Team-xManager/xManager,524.0,2.017175572519084,2.0,2.6041757245426034,1.0209923664122138,1.0,0.24255288189430096,4.732824427480916,0.0,69.89903392351994
PaperMC/Paper,4247.0,6.9797504120555685,5.0,12.348052059705742,1.7120320226041912,1.0,1.3330127624599275,102.09795149517306,1.0,1611.0151351620475
Yalantis/uCrop,77.0,6.337662337662338,3.0,8.658142485864769,1.3636363636363635,1.0,0.8415069644939762,28.90909090909091,1.0,81.54514116639255
Tencent/matrix,1393.0,5.524766690595836,3.0,6.90292893176879,1.3424264178033023,1.0,1.0127288299341335,12.894472361809045,0.0,65.66915448039812
grpc/grpc-java,5552.0,5.581952449567724,3.0,8.002011902882012,1.371577809798271,1.0,0.9345771837626284,14.152197406340058,0.0,129.78034211419657
